,Allianz,BMW,Daimler,DeutscheBörse,Bayer,DeutscheBank,Continental,Adidas,BASF,Covestro
pnl_unrealized,109.633,163.178,0.0,-76.3,151.42,120.546,92.138,1.75,66.944,-35.7
2021-02-26 15:14:59.997764514,0 days 01:11:11.876322085,0 days 01:12:26.895859300,0 days 01:10:48.609131067,0 days 01:10:28.402593185,0 days 01:11:25.417403990,0 days 01:06:50.551094231,0 days 01:09:09.519177408,0 days 01:12:52.799394392,0 days 01:08:24.195867268,0 days 01:17:51.140713481
%-Time in the Market,1.1851741812910186,1.205987335019267,1.1787190145243365,1.1731129844838093,1.1889309709194038,1.1126730390244775,1.1512278500224926,1.213173919714261,1.1386535119708807,1.2959446747496062
VWAP_Score,-916.7612188159296,88.20748496480904,-2177.0412774610354,235.95667175902543,492.795796326681,-5700.174502200508,601.7039707850057,-1219.1247520253303,-864.831220385709,-659.386097944521
pnl_realized,39.375,49.027,19.63,16.033,0.0,33.3,45.15,37.917,44.076,20.75
n_trades,23.0,57.0,23.0,10.0,1.0,43.0,36.0,20.0,73.0,15.0
n_take_prof,0,0,0,0,0,0,0,0,0,0
n_stopp_loss,0,0,0,0,0,0,0,0,0,0
dollar_volume_traded,190122.5,316386.07000000007,165496.50999999998,65584.34999999999,15017.519999999999,190064.86199999994,190507.80000000002,141990.3,240395.65999999992,90474.98
trading_costs,190.1225,316.3860700000001,165.49650999999997,65.58434999999999,15.01752,190.06486199999995,190.50780000000003,141.9903,240.3956599999999,90.47498
pnl_unrealized,-111.875,-369.737,-229.84,-49.333,-208.74,-491.146,-372.75,-216.917,-165.656,-241.53
2021-02-23 12:14:59.820997336,0 days 01:13:13.579772479,0 days 01:12:30.318477907,0 days 01:11:35.334058572,0 days 01:10:59.283419966,0 days 01:12:23.630651321,0 days 01:08:06.079644376,0 days 01:12:14.101148965,0 days 01:17:25.070327380,0 days 01:10:11.727378623,0 days 01:20:48.188936612
%-Time in the Market,1.26602460141713,1.253558715726291,1.2377147727054343,1.2273266614759797,1.251631596286939,1.1774174183733908,1.2488856385379687,1.3384924399489575,1.2136232302412995,1.397021741705154
VWAP_Score,-5.9625165393036355,-211.34400477751183,-744.7270548586912,108.40474300844835,-153.03343267917057,-537.2664037330869,576.9975951137972,163.76430296617968,59.47000000000662,-242.40000000000714
pnl_realized,31.28,0.0,45.853,0.0,-11.931,34.331,84.393,0.0,59.47,-242.4
n_trades,37.0,5.0,20.0,3.0,34.0,20.0,47.0,1.0,27.0,24.0
n_take_prof,0,0,0,0,0,0,0,0,0,0
n_stopp_loss,0,0,0,0,0,0,0,0,0,0
dollar_volume_traded,234708.00000000003,10064.16,160480.84,15145.949999999997,199933.09999999998,110039.008,185551.4,10066.0,150180.99000000002,149669.59999999998
trading_costs,234.70800000000003,10.06416,160.48084,15.145949999999997,199.93309999999997,110.03900800000001,185.5514,10.066,150.18099000000004,149.66959999999997
pnl_unrealized,92.8,-57.6,15.707,-49.95,6.111,78.363,40.307,-10.5,0.0,0.0
2021-02-25 14:14:59.888462872,0 days 01:14:06.043386101,0 days 01:13:20.996105204,0 days 01:14:15.892102738,0 days 01:17:49.268084785,0 days 01:13:18.759482827,0 days 01:10:49.033345799,0 days 01:15:58.360516778,0 days 01:21:25.981009764,0 days 01:11:39.565731922,0 days 01:22:20.981043732
%-Time in the Market,1.2338690149963962,1.2213674626538333,1.236602237603684,1.295818486733251,1.2207467536751815,1.1791946532635018,1.265039342265106,1.355960806557827,1.193218435776718,1.3712244537703158
VWAP_Score,255.9069585420474,6.42201804588268,-1204.6469028628503,-70.36347482757537,-135.29810177517498,-7640.174917762033,-31.750000000000284,-580.2979202385468,-80.76941300904127,-7.20919993459222
pnl_realized,0.0,16.511,47.853,19.6,6.58,62.574,-31.75,57.167,23.59,6.48
n_trades,1.0,23.0,31.0,3.0,7.0,40.0,4.0,50.0,11.0,3.0
n_take_prof,0,0,0,0,0,0,0,0,0,0
n_stopp_loss,0,0,0,0,0,0,0,0,0,0
dollar_volume_traded,10102.5,85176.5,210238.93,35330.75,39994.18,265092.67799999996,20184.15,163406.7,85353.51000000001,20380.68
trading_costs,10.102500000000001,85.1765,210.23893,35.33075,39.99418,265.092678,20.184150000000002,163.40670000000003,85.35351000000001,20.38068
pnl_unrealized,-30.0,28.489,75.027,-0.95,-182.36,-58.172,0.0,35.733,11.28,1.2
2021-02-16 12:14:59.776517743,0 days 01:18:07.679663068,0 days 01:15:20.793393903,0 days 01:16:31.542864019,0 days 01:24:23.085534904,0 days 01:13:57.131436428,0 days 01:11:16.969678982,0 days 01:21:35.190412592,0 days 01:27:17.563777162,0 days 01:15:51.044594084,0 days 01:27:12.901650597
%-Time in the Market,1.3483604263942948,1.3003573935028794,1.3207077144611048,1.45634187090461,1.2762929350155128,1.2302241352928351,1.40804865230145,1.5065286528600883,1.3090588245107089,1.5051876425063704
VWAP_Score,-246.55790006062597,79.79105484663091,159.38154775783113,39.87609700650984,-346.22353211199425,18.086999999998625,86.69352595483677,-11.499999999999773,53.500922598578924,-2.114914540441603
pnl_realized,37.787,22.488,8.015,0.0,33.686,18.087,0.0,-11.5,10.045,16.035
n_trades,59.0,25.0,5.0,1.0,27.0,10.0,1.0,4.0,8.0,15.0
n_take_prof,0,0,0,0,0,0,0,0,0,0
n_stopp_loss,0,0,0,0,0,0,0,0,0,0
dollar_volume_traded,341441.6000000001,109995.45000000001,35026.46,10066.7,110163.45999999996,60023.391,10109.4,41094.5,35175.689999999995,90210.31999999999
trading_costs,341.4416000000001,109.99545000000002,35.02646,10.0667,110.16345999999996,60.023391000000004,10.109399999999999,41.094500000000004,35.175689999999996,90.21032
pnl_unrealized,93.813,24.172,-11.165,-47.45,13.654,0.0,-58.1,0.0,-8.625,-7.515
